timestamps,BMWetmc_u_HvsHtrVoltAct,BMWcif_soc_HvsDisp_si,BMWhvcha_pwr_DcDispPwrCha_si_KW
0.0,0.0,36,0.0
1.0,0.0,36,0.0
2.0,0.0,36,0.0
3.0,0.0,36,0.0
4.0,0.0,36,0.0
5.0,0.0,36,0.0
6.0,0.0,36,0.0
7.0,0.0,36,0.0
8.0,0.0,36,0.0
9.0,0.0,36,0.0
10.0,0.0,36,0.0
11.0,0.0,36,0.0
12.0,0.0,36,0.0
13.0,0.0,36,0.0
14.0,0.0,36,0.0
15.0,0.0,36,0.0
16.0,0.0,36,0.0
17.0,0.0,36,0.0
18.0,0.0,36,0.0
19.0,0.0,36,0.0
20.0,0.0,36,0.0
21.0,0.0,36,0.0
22.0,0.0,36,0.0
23.0,0.0,36,0.0
24.0,0.0,36,0.0
25.0,0.0,36,0.0
26.0,0.0,36,0.0
27.0,0.0,36,0.0
28.0,0.0,36,0.0
29.0,0.0,36,0.0
30.0,0.0,36,0.0
31.0,0.0,36,0.0
32.0,0.0,36,0.0
33.0,0.0,36,0.0
34.0,0.0,36,0.0
35.0,0.0,36,0.0
36.0,0.0,36,0.0
37.0,0.0,36,0.0
38.0,0.0,36,0.0
39.0,0.0,36,0.0
40.0,0.0,36,0.0
41.0,0.0,36,0.0
42.0,0.0,36,0.0
43.0,0.0,36,0.0
44.0,0.0,36,0.0
45.0,0.0,36,0.0
46.0,0.0,36,0.0
47.0,0.0,36,0.0
48.0,0.0,36,0.0
49.0,0.0,36,0.0
50.0,0.0,36,0.0
51.0,0.0,36,0.0
52.0,0.0,36,0.0
53.0,0.0,36,0.0
54.0,0.0,36,0.0
55.0,0.0,36,0.0
56.0,0.0,36,0.0
57.0,0.0,36,0.0
58.0,0.0,36,0.0
59.0,0.0,36,0.0
60.0,0.0,36,0.0
61.0,0.0,36,0.0
62.0,0.0,36,0.0
63.0,0.0,36,0.0
64.0,0.0,36,0.0
65.0,0.0,36,0.0
66.0,0.0,36,0.0
67.0,0.0,36,0.0
68.0,0.0,36,0.0
69.0,0.0,36,0.0
70.0,0.0,36,0.0
71.0,0.0,36,0.0
72.0,0.0,36,0.0
73.0,0.0,36,0.0
74.0,0.0,36,0.0
75.0,0.0,36,0.0
76.0,0.0,36,0.0
77.0,0.0,36,0.0
78.0,0.0,36,0.0
79.0,0.0,36,0.0
80.0,0.0,36,0.0
81.0,0.0,36,0.0
82.0,0.0,36,0.0
83.0,0.0,36,0.0
84.0,0.0,36,0.0
85.0,0.0,36,0.0
86.0,0.0,36,0.0
87.0,0.0,36,0.0
88.0,0.0,36,0.0
89.0,0.0,36,0.0
90.0,0.0,36,0.0
91.0,0.0,36,0.0
92.0,0.0,36,0.0
93.0,0.0,36,0.0
94.0,0.0,36,0.0
95.0,0.0,36,0.0
96.0,0.0,36,0.0
97.0,0.0,36,0.0
98.0,0.0,36,0.0
99.0,0.0,36,0.0
100.0,0.0,36,0.0
101.0,0.0,36,0.0
102.0,0.0,36,0.0
103.0,0.0,36,0.0
104.0,0.0,36,0.0
105.0,0.0,36,0.0
106.0,0.0,36,0.0
107.0,0.0,36,0.0
108.0,0.0,36,0.0
109.0,0.0,36,0.0
110.0,0.0,36,0.0
111.0,0.0,36,0.0
112.0,0.0,36,0.0
113.0,0.0,36,0.0
114.0,0.0,36,0.0
115.0,0.0,36,0.0
116.0,0.0,36,0.0
117.0,0.0,36,0.0
118.0,0.0,36,0.0
119.0,0.0,36,0.0
120.0,0.0,36,0.0
121.0,0.0,36,0.0
122.0,0.0,36,0.0
123.0,0.0,36,0.0
124.0,0.0,36,0.0
125.0,0.0,36,0.0
126.0,0.0,36,0.0
127.0,0.0,36,0.0
127.99999999999999,0.0,36,0.0
129.0,0.0,36,0.0
130.0,0.0,36,0.0
131.0,0.0,36,0.0
132.0,0.0,36,0.0
133.0,0.0,36,0.0
134.0,0.0,36,0.0
135.0,0.0,36,0.0
136.0,0.0,36,0.0
137.0,0.0,36,0.0
138.0,0.0,36,0.0
139.0,0.0,36,0.0
140.0,0.0,36,0.0
141.0,0.0,36,0.0
142.0,0.0,36,0.0
143.0,0.0,36,0.0
144.0,0.0,36,0.0
145.0,0.0,36,0.0
146.0,0.0,36,0.0
147.0,0.0,36,0.0
148.0,0.0,36,0.0
149.0,0.0,36,0.0
150.0,0.0,36,0.0
151.0,0.0,36,0.0
152.0,0.0,36,0.0
153.0,0.0,36,0.0
154.0,0.0,36,0.0
155.0,0.0,36,0.0
156.0,0.0,36,0.0
157.0,0.0,36,0.0
158.0,0.0,36,0.0
159.0,0.0,36,0.0
160.0,0.0,36,0.0
161.0,0.0,36,0.0
162.0,0.0,36,0.0
163.0,0.0,36,0.0
164.0,0.0,36,0.0
165.0,0.0,36,0.0
166.0,0.0,36,0.0
167.0,0.0,36,0.0
168.0,0.0,36,0.0
169.0,0.0,36,0.0
170.0,0.0,36,0.0
171.0,0.0,36,0.0
172.0,0.0,36,0.0
173.0,0.0,36,0.0
174.0,0.0,36,0.0
175.0,0.0,36,0.0
176.0,0.0,36,0.0
177.0,0.0,36,0.0
178.0,0.0,36,0.0
179.0,0.0,36,0.0
180.0,0.0,36,0.0
181.0,0.0,36,0.0
182.0,0.0,36,0.0
183.0,0.0,36,0.0
184.0,0.0,36,0.0
185.0,0.0,36,0.0
186.0,0.0,36,0.0
187.0,0.0,36,0.0
188.0,0.0,36,0.0
189.0,0.0,36,0.0
190.0,0.0,36,0.0
191.0,0.0,36,0.0
192.0,0.0,36,0.0
193.0,0.0,36,0.0
194.0,0.0,36,0.0
195.0,0.0,36,0.0
196.0,0.0,36,0.0
197.0,0.0,36,0.0
198.0,0.0,36,0.0
199.0,0.0,36,0.0
200.0,0.0,36,2.585144239681402
201.0,0.0,36,14.81
202.0,0.0,36,75.30024375990607
203.0,0.0,36,142.50918049363756
204.0,0.0,36,199.66
205.0,0.0,36,287.7212656636801
206.0,0.0,36,364.1598891780822
207.0,0.0,36,423.75
208.0,0.0,36,516.6880078125
209.0,0.0,36,568.1882006408046
210.0,0.0,36,583.8161191137566
211.0,0.0,36,592.2
212.0,0.0,36,589.05
213.0,0.0,36,442.52
214.0,0.0,36,402.2680078125
215.0,0.0,36,459.025
216.0,0.0,36,568.6908475806634
217.0,0.0,36,694.08875
218.0,0.0,36,759.604110555858
219.0,0.0,36,870.58
220.0,0.0,36,925.3
221.0,0.0,36,936.55578125
222.0,0.0,37,945.7291376609915
223.0,0.0,37,948.6237368972709
224.0,0.0,37,949.59046875
225.0,0.0,37,949.97125
226.0,0.0,37,950.595
227.0,0.0,37,950.595
228.0,0.0,37,950.595
229.0,0.0,37,951.21875
230.0,0.0,37,951.21875
231.0,0.0,37,951.8425
232.0,0.0,37,951.8425
233.0,0.0,37,952.3006554436597
234.0,0.0,37,952.46625
235.0,0.0,37,952.46625
236.0,0.0,37,953.09
237.0,0.0,37,953.09
238.0,0.0,37,953.09
239.0,0.0,37,953.71375
240.0,0.0,37,953.71375
241.0,0.0,37,953.71375
242.0,0.0,37,954.3375
243.0,0.0,37,954.3375
244.0,0.0,37,954.3375
245.0,0.0,37,954.7658979313717
246.0,0.0,37,954.96125
247.0,0.0,37,954.96125
248.0,0.0,37,955.1431127919994
249.0,0.0,37,955.585
250.0,0.0,37,955.585
251.0,0.0,37,955.585
252.0,0.0,37,955.585
253.0,0.0,37,956.20875
254.0,0.0,37,956.20875
255.0,0.0,37,956.20875
256.0,0.0,37,956.20875
257.0,0.0,37,956.3827055038164
258.0,0.0,37,956.8325
259.0,0.0,37,956.8325
260.0,0.0,37,956.8325
261.0,0.0,37,956.8325
262.0,0.0,37,957.45625
263.0,0.0,37,957.45625
264.0,0.0,37,957.45625
265.0,0.0,37,957.45625
266.0,0.0,37,958.08
267.0,0.0,37,958.08
268.0,0.0,37,958.08
269.0,0.0,37,958.08
270.0,0.0,37,958.4901168736662
271.0,0.0,38,958.70375
272.0,0.0,38,958.70375
273.0,0.0,38,958.70375
274.0,0.0,38,958.70375
275.0,0.0,38,958.70375
276.0,0.0,38,958.70375
277.0,0.0,38,959.0882303901609
278.0,0.0,38,959.3275
279.0,0.0,38,959.3275
280.0,0.0,38,959.3275
281.0,0.0,38,959.3275
282.0,0.0,38,959.95125
283.0,0.0,38,959.95125
284.0,0.0,38,959.95125
285.0,0.0,38,959.95125
